SSL_SCORE,PREDICTOR_RAT_AGE_AT_LATEST_ARREST,PREDICTOR_RAT_VICTIM_SHOOTING_INCIDENTS,PREDICTOR_RAT_VICTIM_BATTERY_OR_ASSAULT,PREDICTOR_RAT_ARRESTS_VIOLENT_OFFENSES,PREDICTOR_RAT_GANG_AFFILIATION,PREDICTOR_RAT_NARCOTIC_ARRESTS,PREDICTOR_RAT_TREND_IN_CRIMINAL_ACTIVITY,PREDICTOR_RAT_UUW_ARRESTS,SEX_CODE_CD,RACE_CODE_CD,WEAPON_I,DRUG_I,AGE_GROUP,AGE_TO,STOP_ORDER_NO,PAROLEE_I,LATEST_DATE,LATEST_DIST,MAJORITY_DIST,DLST,LATEST_DIST_RES,WEAPONS_ARR_CNT,LATEST_WEAPON_ARR_DATE,NARCOTICS_ARR_CNT,LATEST_NARCOTIC_ARR_DATE,IDOC_RES_CITY,IDOC_RES_STATE_CODE,IDOC_RES_ZIP_CODE,IDOC_CPD_DIST,CPD_ARREST_I,DOMESTIC_ARR_CNT,LATEST_DOMESTIC_ARR_DATE,AGE_CURR,SSL_LAST_PTV_DATE,TRAP_STATUS,RAW_SSL_SCORE,HEAT_SCORE,RAW_HEAT_SCORE,STATUS_I,PRE_RAW_HEAT_SCORE,TRAP_FLAGS,SSL_FLAGS,LATITUDE,LONGITUDE,CENSUS_TRACT,COMMUNITY_AREA,LOCATION,Community Areas,Zip Codes,Boundaries - ZIP Codes,Census Tracts,Wards
500,20-30,0,1,4,1,1,1,1,M,BLK,Y,N,20-30,20-30,,,2015,31,24,,31,1,2012,,,SKOKIE,IL,60077,,N,,,20-30,,,0.14196,500,0.14196,Y,14196,,24,,,, ,,,,,,
500,20-30,0,9,1,1,0,1,0,M,WHI,N,N,20-30,20-30,,,2016,31,8,,8,,,,,,,,,N,1,2008,20-30,,,0.14511,500,0.14511,Y,14511,,8,,,, ,,,,,,
500,less than 20,1,2,1,1,3,1,0,M,WHI,N,N,less than 20,less than 20,,,2016,31,8,,8,,,,,,,,,N,,,less than 20,2015,,0.12982,500,0.12982,Y,12982,,8,,,, ,,,,,,
500,less than 20,1,1,4,1,0,1.6,1,M,BLK,Y,N,less than 20,less than 20,,,2016,31,3,,4,2,2016,,,,,,,Y,,,less than 20,2016,,0.1311,500,0.1311,Y,13110,,,,,, ,,,,,,
500,less than 20,0,0,5,0,0,1.3,3,M,BLK,Y,N,less than 20,less than 20,,,2016,31,20,,31,1,2016,,,,,,,N,,,less than 20,,,0.12874,500,0.12874,Y,12874,,,,,, ,,,,,,
500,less than 20,1,4,3,1,0,-0.2,1,M,BLK,Y,N,less than 20,less than 20,,,2015,31,3,,2,1,2012,,,CHICAGO,IL,60615,,N,1,2010,20-30,2014,3,0.13535,500,0.13535,Y,13535,,3,,,, ,,,,,,
500,less than 20,0,0,5,1,4,-1.2,2,M,BLK,Y,Y,less than 20,less than 20,,,2016,15,15,,15,1,2012,1,2013,,,,,Y,,,less than 20,,,0.14227,500,0.14227,Y,14227,,,41.87659229,-87.75981156,17031252102,AUSTIN,"(41.876592, -87.759812)",26,22216,32,68,7
500,less than 20,0,0,7,1,0,-1.1,0,M,BLK,Y,N,less than 20,less than 20,,,2016,3,6,,7,1,2016,,,,,,,Y,1,2016,less than 20,,,0.13593,500,0.13593,Y,13593,,,41.7697164,-87.58936012,17031430300,SOUTH SHORE,"(41.769716, -87.58936)",39,22260,60,416,33
500,20-30,0,0,3,1,9,1.6,0,M,BLK,Y,Y,20-30,20-30,,Y,2016,7,7,,4,3,2011,4,2015,CHICAGO,IL,60608,,Y,,,20-30,,,0.12816,500,0.12816,Y,12816,,7,41.77643069,-87.63763057,17031680900,ENGLEWOOD,"(41.776431, -87.637631)",66,21559,11,435,4
500,less than 20,0,2,4,1,1,-0.2,1,M,BLK,Y,Y,less than 20,less than 20,,,2016,19,20,,15,1,2015,2,2014,,,,,Y,,,less than 20,2016,,0.14255,500,0.14255,Y,14255,,20,41.96097955,-87.65916649,17031830700,UPTOWN,"(41.96098, -87.659166)",31,21186,53,241,39
